Video Frame Number,Transmission Beginning Time,Server Receive Time,One-way network delay (seconds),Video Frame Processing Delay (seconds),Frame size
1,1713728201.412332,1713728201.5368874,0.12455534934997559,0.057578325271606445,193184
2,1713728201.4593086,1713728201.800042,0.34073328971862793,0.01708817481994629,192640
3,1713728201.5602913,1713728201.863605,0.3033137321472168,0.015725135803222656,192768
4,1713728201.5966866,1713728202.1994064,0.602719783782959,0.011085748672485352,192120
5,1713728201.6252372,1713728202.2368424,0.611605167388916,0.012471437454223633,193104
6,1713728201.654398,1713728202.2865229,0.6321249008178711,0.010822296142578125,192040
7,1713728201.8326907,1713728202.6654143,0.8327236175537109,0.014696836471557617,192384
8,1713728201.8933637,1713728203.0390277,1.1456639766693115,0.009366750717163086,192912
9,1713728201.9278736,1713728203.07495,1.1470763683319092,0.012218236923217773,192872
10,1713728202.1888924,1713728203.155929,0.9670367240905762,0.01532292366027832,192688
11,1713728202.246261,1713728203.2399719,0.993710994720459,0.018301010131835938,192488
12,1713728202.2764583,1713728203.327927,1.051468849182129,0.010500192642211914,192488
13,1713728202.307928,1713728203.414995,1.1070668697357178,0.010929584503173828,192696
14,1713728202.7141945,1713728203.8435814,1.1293869018554688,0.012349605560302734,192696
15,1713728202.7502408,1713728203.907895,1.1576542854309082,0.010165929794311523,192752
16,1713728203.1800628,1713728204.0331292,0.8530664443969727,0.009171724319458008,192304
17,1713728203.2176604,1713728204.1410801,0.923419713973999,0.009272575378417969,192544
18,1713728203.2458367,1713728204.254294,1.0084571838378906,0.011969566345214844,192600
19,1713728203.4238288,1713728204.3907216,0.9668927192687988,0.009197711944580078,192048
20,1713728203.4524505,1713728204.4858902,1.0334396362304688,0.011212348937988281,192232
21,1713728203.4806335,1713728204.5817611,1.1011276245117188,0.012200355529785156,192368
22,1713728204.0128493,1713728204.6509564,0.6381070613861084,0.0157473087310791,192288
23,1713728204.04323,1713728204.7320647,0.6888346672058105,0.008897066116333008,192320
24,1713728205.3144593,1713728205.426038,0.11157870292663574,0.009521722793579102,192504
25,1713728205.408237,1713728205.5189946,0.11075758934020996,0.010190963745117188,192824
26,1713728205.491232,1713728205.6589837,0.16775178909301758,0.0170896053314209,192512
27,1713728205.6009057,1713728205.7328908,0.13198518753051758,0.012428760528564453,192800
28,1713728205.6563835,1713728205.8075855,0.15120196342468262,0.010418176651000977,193072
29,1713728205.6874223,1713728206.5612178,0.8737955093383789,0.009681940078735352,192736
30,1713728205.7263823,1713728206.5986195,0.8722372055053711,0.010213375091552734,193440
31,1713728205.7690215,1713728206.6347954,0.8657739162445068,0.011916875839233398,193040
32,1713728205.799907,1713728206.721821,0.9219141006469727,0.009778499603271484,193296
33,1713728205.8393388,1713728206.8418896,1.0025508403778076,0.013046503067016602,192520
34,1713728205.870167,1713728206.9432447,1.07307767868042,0.011773347854614258,192728
35,1713728205.9286964,1713728207.0490344,1.120337963104248,0.010710954666137695,193200
36,1713728205.9563615,1713728207.1479034,1.1915419101715088,0.010446786880493164,192912
37,1713728205.9984977,1713728207.248063,1.2495653629302979,0.010221719741821289,193536
38,1713728206.7039964,1713728207.3478522,0.6438558101654053,0.009352922439575195,193152
39,1713728206.733956,1713728207.433194,0.6992378234863281,0.014660358428955078,192760
40,1713728206.7626967,1713728207.9038591,1.141162395477295,0.009231328964233398,193352
41,1713728207.0212402,1713728207.939207,0.9179668426513672,0.014492273330688477,193040
42,1713728207.0536764,1713728208.0739195,1.0202431678771973,0.009319305419921875,192984
43,1713728207.2945943,1713728208.1878133,0.893218994140625,0.010452747344970703,193440
44,1713728207.330605,1713728208.2879648,0.957359790802002,0.010265350341796875,193048
45,1713728207.3581686,1713728208.397798,1.0396294593811035,0.009986400604248047,192848
46,1713728207.5799153,1713728208.5198772,0.9399619102478027,0.01036214828491211,193184
47,1713728207.6132956,1713728208.6330237,1.019728183746338,0.011667251586914062,192712
48,1713728207.6540618,1713728208.7497342,1.095672369003296,0.009580612182617188,192952
49,1713728208.1557474,1713728209.207897,1.0521495342254639,0.013296365737915039,192848
50,1713728208.1904006,1713728209.308811,1.118410348892212,0.012357950210571289,192296
51,1713728208.3876083,1713728209.526755,1.1391468048095703,0.008668184280395508,192472
52,1713728208.4155502,1713728209.6968946,1.2813444137573242,0.011630773544311523,191912
53,1713728208.445441,1713728209.872306,1.4268651008605957,0.017107248306274414,191360
54,1713728208.7488735,1713728210.0069108,1.2580373287200928,0.012534856796264648,191320
55,1713728208.7831454,1713728210.1528702,1.3697247505187988,0.011463403701782227,191720
56,1713728208.8146262,1713728210.277881,1.463254690170288,0.012140989303588867,191120
57,1713728209.3905642,1713728210.4039254,1.0133612155914307,0.007710695266723633,191376
58,1713728209.4209561,1713728210.5299757,1.1090195178985596,0.009206056594848633,190776
59,1713728209.454033,1713728210.656924,1.2028911113739014,0.008877038955688477,191144
60,1713728209.985107,1713728210.7957685,0.8106615543365479,0.009327888488769531,190992
61,1713728210.0283709,1713728211.0152931,0.9869222640991211,0.008616209030151367,190952
62,1713728210.309504,1713728211.4661765,1.156672477722168,0.012217283248901367,191328
63,1713728210.34877,1713728211.5108006,1.1620306968688965,0.012735605239868164,191024
64,1713728210.382144,1713728211.6308506,1.248706579208374,0.00971078872680664,191504
65,1713728210.621009,1713728211.7358267,1.1148176193237305,0.00940847396850586,191216
66,1713728210.657452,1713728211.8499644,1.1925122737884521,0.01471400260925293,192288
67,1713728210.6943128,1713728211.9689064,1.2745935916900635,0.008476018905639648,191872
68,1713728211.0665035,1713728212.0759904,1.0094869136810303,0.014727354049682617,191968
