Video frame number,Transmission Beginning Time
434,1713651514.0172167
435,1713651514.2666583
436,1713651514.5206008
437,1713651514.9713
438,1713651515.217054
439,1713651515.518719
440,1713651515.8658187
441,1713651516.1836238
442,1713651516.553386
443,1713651516.8528814
444,1713651517.1471078
445,1713651517.6775174
446,1713651517.9242008
447,1713651518.2362068
448,1713651518.5354805
449,1713651518.7695162
450,1713651519.2513351
451,1713651519.5640478
452,1713651519.7025707
453,1713651520.0413218
454,1713651520.342133
455,1713651520.7191255
456,1713651521.0096335
457,1713651521.3302693
458,1713651521.6806123
459,1713651522.0584505
460,1713651522.3194613
461,1713651522.7952328
462,1713651522.9288673
463,1713651523.479499
464,1713651523.7642624
465,1713651524.128729
466,1713651524.4032712
467,1713651524.7137344
468,1713651525.193608
469,1713651525.4260113
470,1713651525.848359
471,1713651526.0837154
472,1713651526.3406012
473,1713651526.6627045
474,1713651527.2590785
475,1713651527.5979097
476,1713651527.8538892
477,1713651528.0964909
478,1713651528.664855
479,1713651528.847735
480,1713651529.2160733
481,1713651529.5108874
482,1713651530.0505962
483,1713651530.2400944
484,1713651530.739063
485,1713651531.060639
486,1713651531.4298055
487,1713651531.743465
488,1713651531.9939213
489,1713651532.4986656
490,1713651532.842999
491,1713651533.1238008
492,1713651533.5008318
493,1713651533.816767
494,1713651534.0932546
495,1713651534.5489483
496,1713651534.8627367
497,1713651535.3776772
498,1713651535.621918
499,1713651536.1304457
500,1713651536.3450181
501,1713651536.663744
502,1713651536.9809616
503,1713651537.4604025
504,1713651537.7421312
505,1713651537.99081
506,1713651538.5100932
507,1713651538.8074744
508,1713651539.1288197
509,1713651539.4680886
510,1713651539.8506377
511,1713651540.1284199
512,1713651540.4398458
513,1713651540.8517363
514,1713651541.1872106
515,1713651541.4646063
516,1713651541.8192701
517,1713651542.0616078
518,1713651542.3371873
519,1713651542.811898
520,1713651543.1208344
521,1713651543.3786266
522,1713651543.6680455
523,1713651544.0801163
524,1713651544.3547654
525,1713651544.6555834
526,1713651545.0760636
527,1713651545.4487793
528,1713651545.7571497
529,1713651546.0104506
530,1713651546.437659
531,1713651546.7858977
532,1713651547.0750272
533,1713651547.4755716
534,1713651547.879149
535,1713651548.0908325
536,1713651549.0196218
537,1713651549.064957
538,1713651549.243323
539,1713651549.5826898
540,1713651549.806081
541,1713651550.0992134
542,1713651550.5182889
543,1713651550.789557
544,1713651551.0872014
545,1713651551.6237664
546,1713651551.795744
547,1713651552.166506
548,1713651552.435834
549,1713651552.7945383
550,1713651553.0541227
551,1713651553.4735599
552,1713651553.951444
553,1713651554.104158
554,1713651554.3807957
555,1713651554.7318208
556,1713651555.1116238
557,1713651555.4652238
558,1713651555.994782
559,1713651556.1897287
560,1713651556.566556
561,1713651556.7790668
562,1713651557.3111544
563,1713651557.4133508
564,1713651557.7851796
565,1713651558.0908015
566,1713651558.4563425
567,1713651558.7596722
568,1713651559.058414
569,1713651559.5032036
570,1713651559.8336592
571,1713651560.1515188
572,1713651560.4582016
573,1713651560.7916112
574,1713651561.1342347
575,1713651561.4138274
576,1713651561.6904159
577,1713651562.3220444
578,1713651562.454695
579,1713651562.6487913
580,1713651562.914182
581,1713651563.340732
582,1713651563.577763
583,1713651564.0369813
584,1713651564.2903173
585,1713651564.7005672
586,1713651565.0274327
587,1713651565.3536057
588,1713651565.710166
589,1713651566.1136916
590,1713651566.6021447
591,1713651567.0521913
592,1713651567.424955
593,1713651568.079142
594,1713651568.472371
595,1713651569.0964377
596,1713651569.4841342
597,1713651570.0700195
598,1713651570.4822981
599,1713651570.965835
600,1713651571.4594493
601,1713651571.9815943
602,1713651572.4639
603,1713651573.0333464
604,1713651573.6107843
605,1713651574.1051283
606,1713651574.6379886
607,1713651575.166625
608,1713651575.684622
609,1713651576.0337157
610,1713651576.6178544
611,1713651577.221506
